,player,innings,runs,ball_played,dismissals,dots,ones,twos,threes,fours,sixes,SR,RPI,BPD,BPB,position,balls_thrown,runs_conceded,extras,wides,noballs,byes,legbyes,penalty_runs,total_runs,wickets,overs,economy_rate,strike_rate
653,J Little,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,287.0,9.0,7.0,0.0,0.0,2.0,0.0,296.0,9.0,127.0,2.3307086614173227,84.88888888888889
654,Arshdeep Singh,10.0,25.0,38.0,4.0,26.0,6.0,2.0,1.0,3.0,0.0,65.78947368421053,2.5,9.5,12.666666666666666,11.0,4168.0,1477.0,106.0,65.0,5.0,6.0,30.0,0.0,1583.0,64.0,694.0,2.2809798270893373,65.125
655,M Ashwin,12.0,35.0,50.0,8.0,27.0,19.0,1.0,0.0,2.0,1.0,70.0,2.9166666666666665,6.25,16.666666666666668,10.0,3238.0,1131.0,51.0,28.0,3.0,7.0,13.0,0.0,1182.0,35.0,538.0,2.197026022304833,92.51428571428572
656,AA Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,8.0,2.625,49.0
657,Anmolpreet Singh,7.0,134.0,110.0,7.0,50.0,34.0,5.0,0.0,18.0,3.0,121.81818181818183,19.142857142857142,15.714285714285714,5.238095238095238,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,DA Miller,114.0,2714.0,2022.0,77.0,675.0,860.0,172.0,2.0,187.0,126.0,134.22354104846684,23.80701754385965,26.25974025974026,6.460063897763578,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,MN van Wyk,5.0,167.0,135.0,3.0,44.0,58.0,12.0,1.0,19.0,1.0,123.7037037037037,33.4,45.0,6.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,CH Morris,49.0,618.0,413.0,29.0,134.0,163.0,39.0,1.0,41.0,35.0,149.636803874092,12.612244897959183,14.241379310344827,5.434210526315789,8.0,6571.0,2220.0,157.0,84.0,5.0,8.0,60.0,0.0,2377.0,107.0,1094.0,2.172760511882998,61.41121495327103
661,MEK Hussey,58.0,1977.0,1648.0,52.0,643.0,648.0,96.0,11.0,198.0,52.0,119.96359223300972,34.08620689655172,31.692307692307693,6.592,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,TM Dilshan,50.0,1153.0,1047.0,41.0,492.0,335.0,54.0,2.0,140.0,24.0,110.12416427889207,23.06,25.536585365853657,6.384146341463414,6.0,974.0,361.0,7.0,5.0,0.0,0.0,2.0,0.0,368.0,5.0,161.0,2.2857142857142856,194.8
